Medicine,Recommendation
halothane,Inhalation
isoflurane,Inhalation
nitrous oxide,Inhalation
oxygen,Inhalation (medical gas)
ketamine,Injection: 50 mg/mL (as hydrochloride) in 10 mL vial.
propofol,Injection: 10 mg/mL; 20 mg/mL.
bupivacaine,Injection: 0.25%; 0.5% (hydrochloride) in vial. Injection for spinal anaesthesia: 0.5% (hydrochloride) in 4 mL ampoule to be mixed with 7.5% glucose solution.
lidocaine,Injection: 1%; 2% (hydrochloride) in vial. Injection for spinal anaesthesia: 5% (hydrochloride) in 2 mL ampoule to be mixed with 7.5% glucose solution. Topical forms: 2% to 4% (hydrochloride).
lidocaine + epinephrine (adrenaline),Dental cartridge: 2% (hydrochloride) + epinephrine 1:80 000. Injection: 1%; 2% (hydrochloride or sulfate) + epinephrine 1:200 000 in vial.
budesonide,Nasal spray: 100 micrograms per dose
ciprofloxacin,Solution (ear drops): 0.3% (as hydrochloride)
xylometazoline,Nasal spray: 0.05%
iodine,"Capsule: 190 mg.
Iodized oil: 1 mL (480 mg iodine); 0.5 mL (240 mg iodine) in ampoule
(oral or injectable); 0.57 mL (308 mg iodine) in dispenser bottle"
nicotinamide,Tablet: 50 mg
pyridoxine,ablet: 25 mg (hydrochloride)
sodium chloride,"Injectable solution: 0.9% isotonic (equivalent to Na+ 154 mmol/L, Cl-154 mmol/L)"
chlorpromazine,Injection: 25 mg/mL (hydrochloride) in 2 mL ampoule. Oral liquid: 25 mg/5 mL (hydrochloride). Tablet: 10 mg; 25 mg; 50 mg; 100 mg (hydrochloride)
clozapine,Solid oral dosage form: 25 to 200 mg.
haloperidol,Injection: 5 mg in 1 mL ampoule. Oral liquid: 2 mg/mL. Solid oral dosage form: 0.5 mg; 2 mg; 5 mg
amitriptyline,Tablet: 25 mg; 75mg. (hydrochloride).
fluoxetine,Solid oral dosage form: 20 mg (as hydrochloride)
carbamazepine,Tablet (scored): 100 mg; 200 mg.
lithium carbonate,Solid oral dosage form: 300 mg
diazepam,Tablet (scored): 2 mg; 5 mg
clomipramine,Capsule: 10 mg; 25 mg (hydrochloride)
bupropion,Tablet (sustained-release): 150 mg (hydrochloride)
varenicline,"Tablet: 0.5 mg, 1 mg"
carbetocin,Injection (heat stable): 100 micrograms/mL
ergometrine,Injection: 200 micrograms (hydrogen maleate) in 1 mL ampoule.
oxytocin,Injection: 10 IU in 1 mL
nifedipine,Immediate-release capsule: 10 mg
dexamethasone,Injection: 4 mg/mL (as disodium phosphate salt) in 1 mL ampoule